level_0,index,PI,YEAR,Trial,TRIAL_SHORT,Location,LOC_SHORT,Trt,Reps,Plots,SAMPLING,Trt1,Rep1,Plot,LABEL
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,1,1,101,FKF-AB-22-HI-101
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,2,1,102,FKF-AB-22-HI-102
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,3,1,103,FKF-AB-22-HI-103
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,4,1,104,FKF-AB-22-HI-104
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,5,1,105,FKF-AB-22-HI-105
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,6,1,106,FKF-AB-22-HI-106
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,7,1,107,FKF-AB-22-HI-107
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,8,1,108,FKF-AB-22-HI-108
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,9,1,109,FKF-AB-22-HI-109
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,10,1,110,FKF-AB-22-HI-110
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,11,1,111,FKF-AB-22-HI-111
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,12,1,112,FKF-AB-22-HI-112
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,1,2,201,FKF-AB-22-HI-201
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,2,2,202,FKF-AB-22-HI-202
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,3,2,203,FKF-AB-22-HI-203
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,4,2,204,FKF-AB-22-HI-204
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,5,2,205,FKF-AB-22-HI-205
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,6,2,206,FKF-AB-22-HI-206
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,7,2,207,FKF-AB-22-HI-207
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,8,2,208,FKF-AB-22-HI-208
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,9,2,209,FKF-AB-22-HI-209
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,10,2,210,FKF-AB-22-HI-210
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,11,2,211,FKF-AB-22-HI-211
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,12,2,212,FKF-AB-22-HI-212
0,0,Lollato,22,Kelsey's Fungicide UFT,FKF,Ashland Bottoms,AB,12.0,4.0,48,HI,1,3,301,FKF-AB-22-HI-301
