level_0,index,PI,YEAR,Trial,TRIAL_SHORT,Location,LOC_SHORT,Trt,Reps,Plots,SAMPLING,Trt1,Rep1,Plot,LABEL
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,1,1,101,Clx24-ASHB-22-F6-101
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,2,1,102,Clx24-ASHB-22-F6-102
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,3,1,103,Clx24-ASHB-22-F6-103
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,4,1,104,Clx24-ASHB-22-F6-104
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,5,1,105,Clx24-ASHB-22-F6-105
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,6,1,106,Clx24-ASHB-22-F6-106
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,7,1,107,Clx24-ASHB-22-F6-107
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,8,1,108,Clx24-ASHB-22-F6-108
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,9,1,109,Clx24-ASHB-22-F6-109
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,10,1,110,Clx24-ASHB-22-F6-110
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,11,1,111,Clx24-ASHB-22-F6-111
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,12,1,112,Clx24-ASHB-22-F6-112
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,13,1,113,Clx24-ASHB-22-F6-113
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,14,1,114,Clx24-ASHB-22-F6-114
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,15,1,115,Clx24-ASHB-22-F6-115
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,16,1,116,Clx24-ASHB-22-F6-116
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,17,1,117,Clx24-ASHB-22-F6-117
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,18,1,118,Clx24-ASHB-22-F6-118
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,19,1,119,Clx24-ASHB-22-F6-119
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,20,1,120,Clx24-ASHB-22-F6-120
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,21,1,121,Clx24-ASHB-22-F6-121
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,22,1,122,Clx24-ASHB-22-F6-122
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,23,1,123,Clx24-ASHB-22-F6-123
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,24,1,124,Clx24-ASHB-22-F6-124
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,25,1,125,Clx24-ASHB-22-F6-125
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,26,1,126,Clx24-ASHB-22-F6-126
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,27,1,127,Clx24-ASHB-22-F6-127
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,28,1,128,Clx24-ASHB-22-F6-128
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,29,1,129,Clx24-ASHB-22-F6-129
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,30,1,130,Clx24-ASHB-22-F6-130
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,31,1,131,Clx24-ASHB-22-F6-131
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,32,1,132,Clx24-ASHB-22-F6-132
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,33,1,133,Clx24-ASHB-22-F6-133
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,34,1,134,Clx24-ASHB-22-F6-134
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,35,1,135,Clx24-ASHB-22-F6-135
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,36,1,136,Clx24-ASHB-22-F6-136
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,37,1,137,Clx24-ASHB-22-F6-137
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,38,1,138,Clx24-ASHB-22-F6-138
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,39,1,139,Clx24-ASHB-22-F6-139
0,0,Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,F6,40,1,140,Clx24-ASHB-22-F6-140
